(u'wednesday may 23 1990', '1990-05-23')
(u'saturday november 30 1985', '1985-11-30')
(u'friday march 11 1983', '1983-03-11')
(u'monday june 6 1983', '1983-06-06')
(u'monday december 4 1989', '1989-12-04')
(u'3 jan 2004', '2004-01-03')
(u'07 sep 2000', '2000-09-07')
(u'wednesday july 15 1987', '1987-07-15')
(u'monday december 11 1989', '1989-12-11')
(u'saturday may 21 1994', '1994-05-21')
(u'july 26 2013', '2013-07-26')
(u'8/16/70', '1970-08-16')
(u'1 feb 2003', '2003-02-01')
(u'wednesday october 7 1981', '1981-10-07')
(u'thursday june 14 1990', '1990-06-14')
(u'saturday april 18 1981', '1981-04-18')
(u'21 september 1999', '1999-09-21')
(u'29 december 2005', '2005-12-29')
(u'wednesday january 30 1985', '1985-01-30')
(u'wednesday june 28 1989', '1989-06-28')
(u'7/18/71', '1971-07-18')
(u'29 sep 2001', '2001-09-29')
(u'march 29 1975', '1975-03-29')
(u'friday may 7 1982', '1982-05-07')
(u'saturday september 24 1983', '1983-09-24')
(u'19 05 10', '2010-05-19')
(u'9 june 1999', '1999-06-09')
(u'19 jul 2004', '2004-07-19')
(u'dec 23 1972', '1972-12-23')
(u'thursday march 15 1990', '1990-03-15')
(u'9 jan 2003', '2003-01-09')
(u'9/11/71', '1971-09-11')
(u'friday june 8 1979', '1979-06-08')
(u'friday july 10 1981', '1981-07-10')
(u'april 13 2014', '2014-04-13')
(u'2 apr 1998', '1998-04-02')
(u'friday february 13 1987', '1987-02-13')
(u'wednesday september 18 1985', '1985-09-18')
(u'7/14/70', '1970-07-14')
(u'june 19 2015', '2015-06-19')
(u'jul 11 1973', '1973-07-11')
(u'aug 27 1973', '1973-08-27')
(u'tuesday march 15 1994', '1994-03-15')
(u'5 sep 1996', '1996-09-05')
(u'saturday february 18 1978', '1978-02-18')
(u'saturday february 2 1985', '1985-02-02')
(u'february 8 1975', '1975-02-08')
(u'wednesday june 8 1988', '1988-06-08')
(u'saturday september 7 1991', '1991-09-07')
(u'december 5 1975', '1975-12-05')
(u'13 jul 1996', '1996-07-13')
(u'7 10 10', '2010-10-07')
(u'22 apr 2008', '2008-04-22')
(u'sunday april 22 1990', '1990-04-22')
(u'saturday december 2 1989', '1989-12-02')
(u'march 25 1975', '1975-03-25')
(u'friday december 22 1989', '1989-12-22')
(u'24 october 1999', '1999-10-24')
(u'8 jan 2004', '2004-01-08')
(u'2 june 2006', '2006-06-02')
(u'sunday june 12 1994', '1994-06-12')
(u'thursday november 20 1986', '1986-11-20')
(u'23 12 08', '2008-12-23')
(u'december 21 2015', '2015-12-21')
(u'wednesday july 31 1991', '1991-07-31')
(u'saturday october 16 1982', '1982-10-16')
(u'friday december 5 1980', '1980-12-05')
(u'friday december 3 1976', '1976-12-03')
(u'17 jan 2008', '2008-01-17')
(u'5/19/71', '1971-05-19')
(u'monday december 25 1978', '1978-12-25')
(u'saturday january 20 1990', '1990-01-20')
(u'saturday may 9 1981', '1981-05-09')
(u'tuesday january 18 1994', '1994-01-18')
(u'april 30 2013', '2013-04-30')
(u'22 jun 2002', '2002-06-22')
(u'thursday april 23 1992', '1992-04-23')
(u'13.06.17', '2017-06-13')
(u'8/1/70', '1970-08-01')
(u'sunday november 24 1991', '1991-11-24')
(u'20 december 1998', '1998-12-20')
(u'14 oct 2000', '2000-10-14')
(u'3/28/70', '1970-03-28')
(u'apr 26 1973', '1973-04-26')
(u'mar 21 1973', '1973-03-21')
(u'september 29 2016', '2016-09-29')
(u'saturday august 11 1984', '1984-08-11')
(u'saturday november 9 1985', '1985-11-09')
(u'october 27 1975', '1975-10-27')
(u'dec 12 1973', '1973-12-12')
(u'dec 8 1972', '1972-12-08')
(u'27 jul 1997', '1997-07-27')
(u'saturday january 7 1984', '1984-01-07')
(u'11 oct 2001', '2001-10-11')
(u'may 11 2014', '2014-05-11')
(u'sep 21 1973', '1973-09-21')
(u'sunday january 22 1989', '1989-01-22')
(u'sunday february 5 1984', '1984-02-05')
(u'jan 23 1972', '1972-01-23')
(u'sunday january 20 1985', '1985-01-20')
(u'april 26 2016', '2016-04-26')
(u'6/30/70', '1970-06-30')
(u'6 july 2006', '2006-07-06')
(u'may 29 2013', '2013-05-29')
(u'saturday february 8 1992', '1992-02-08')
(u'10 may 1999', '1999-05-10')
(u'monday september 18 1978', '1978-09-18')
(u'monday may 1 1989', '1989-05-01')
(u'17 march 2005', '2005-03-17')
(u'12 oct 1997', '1997-10-12')
(u'sep 24 1972', '1972-09-24')
(u'26 feb 2008', '2008-02-26')
(u'29 september 2011', '2011-09-29')
(u'feb 5 1973', '1973-02-05')
(u'16 november 2004', '2004-11-16')
(u'23 jul 2002', '2002-07-23')
(u'saturday july 31 1993', '1993-07-31')
(u'17 may 2006', '2006-05-17')
(u'february 20 1975', '1975-02-20')
(u'03.01.18', '2018-01-03')
(u'monday may 23 1977', '1977-05-23')
(u'sunday may 25 1986', '1986-05-25')
(u'thursday november 20 1980', '1980-11-20')
(u'tuesday january 12 1993', '1993-01-12')
(u'19 june 2011', '2011-06-19')
(u'monday march 14 1994', '1994-03-14')
(u'thursday october 13 1994', '1994-10-13')
(u'8 nov 1997', '1997-11-08')
(u'02 sep 2000', '2000-09-02')
(u'23 may 2012', '2012-05-23')
(u'saturday february 18 1989', '1989-02-18')
(u'wednesday december 5 1984', '1984-12-05')
(u'june 30 1974', '1974-06-30')
(u'10 feb 2008', '2008-02-10')
(u'20 december 2010', '2010-12-20')
(u'oct 17 1973', '1973-10-17')
(u'25 december 2011', '2011-12-25')
(u'saturday august 11 1984', '1984-08-11')
(u'saturday july 10 1976', '1976-07-10')
(u'monday july 23 1984', '1984-07-23')
(u'monday june 22 1992', '1992-06-22')
(u'saturday december 19 1992', '1992-12-19')
(u'september 2 2014', '2014-09-02')
(u'3 september 2004', '2004-09-03')
(u'tuesday february 19 1991', '1991-02-19')
(u'monday december 6 1993', '1993-12-06')
(u'june 8 1975', '1975-06-08')
(u'2/14/70', '1970-02-14')
(u'january 15 2015', '2015-01-15')
(u'friday october 12 1984', '1984-10-12')
(u'saturday september 23 1978', '1978-09-23')
(u'thursday march 19 1987', '1987-03-19')
(u'06 feb 2001', '2001-02-06')
(u'friday december 3 1982', '1982-12-03')
(u'7 november 2010', '2010-11-07')
(u'tuesday september 26 1989', '1989-09-26')
(u'30 mar 2007', '2007-03-30')
(u'4/17/71', '1971-04-17')
(u'23 april 2011', '2011-04-23')
(u'28 march 1999', '1999-03-28')
(u'1 jul 2004', '2004-07-01')
(u'wednesday february 14 1996', '1996-02-14')
(u'sunday november 17 1991', '1991-11-17')
(u'saturday april 9 1994', '1994-04-09')
(u'tuesday april 15 1980', '1980-04-15')
(u'sunday october 11 1981', '1981-10-11')
(u'2 02 10', '2010-02-02')
(u'29.06.17', '2017-06-29')
(u'13 may 2000', '2000-05-13')
(u'21 aug 2004', '2004-08-21')
(u'february 14 2015', '2015-02-14')
(u'30.12.16', '2016-12-30')
(u'11 jan 2002', '2002-01-11')
(u'02.06.17', '2017-06-02')
(u'thursday july 28 1983', '1983-07-28')
(u'12 feb 2001', '2001-02-12')
(u'6 mar 2003', '2003-03-06')
(u'sunday march 24 1996', '1996-03-24')
(u'9 aug 2003', '2003-08-09')
(u'wednesday march 1 1995', '1995-03-01')
(u'02.05.17', '2017-05-02')
(u'31.08.17', '2017-08-31')
(u'13 jul 1996', '1996-07-13')
(u'june 13 2013', '2013-06-13')
(u'thursday december 11 1986', '1986-12-11')
(u'18 12 09', '2009-12-18')
(u'monday october 17 1977', '1977-10-17')
(u'friday june 18 1993', '1993-06-18')
(u'monday may 29 1989', '1989-05-29')
(u'21 february 1999', '1999-02-21')
(u'friday february 1 1980', '1980-02-01')
(u'1 feb 2004', '2004-02-01')
(u'28 january 2005', '2005-01-28')
(u'wednesday may 11 1994', '1994-05-11')
(u'thursday december 25 1980', '1980-12-25')
(u'04 mar 2007', '2007-03-04')
(u'16 03 10', '2010-03-16')
(u'4 july 1999', '1999-07-04')
(u'april 12 2015', '2015-04-12')
(u'february 26 1974', '1974-02-26')
(u'june 19 1974', '1974-06-19')
(u'thursday march 30 1989', '1989-03-30')
(u'25 03 09', '2009-03-25')
(u'thursday may 2 1985', '1985-05-02')
(u'10 december 1999', '1999-12-10')
(u'28 august 1999', '1999-08-28')
(u'wednesday february 27 1985', '1985-02-27')
(u'friday may 26 1995', '1995-05-26')
(u'monday december 5 1994', '1994-12-05')
(u'10 july 2000', '2000-07-10')
(u'july 9 2014', '2014-07-09')
(u'thursday september 9 1993', '1993-09-09')
(u'wednesday september 16 1981', '1981-09-16')
(u'tuesday march 24 1992', '1992-03-24')
(u'saturday january 26 1980', '1980-01-26')
(u'tuesday july 5 1994', '1994-07-05')
(u'friday february 20 1981', '1981-02-20')
(u'mar 5 1973', '1973-03-05')
(u'15 august 1998', '1998-08-15')
(u'1/1/72', '1972-01-01')
(u'23 mar 1997', '1997-03-23')
(u'wednesday may 10 1995', '1995-05-10')
(u'saturday july 21 1990', '1990-07-21')
(u'june 15 1975', '1975-06-15')
(u'12 06 09', '2009-06-12')
(u'friday january 22 1982', '1982-01-22')
(u'saturday july 8 1989', '1989-07-08')
(u'monday may 21 1990', '1990-05-21')
(u'monday june 18 1990', '1990-06-18')
(u'tuesday february 5 1991', '1991-02-05')
(u'18 sep 2008', '2008-09-18')
(u'january 8 1976', '1976-01-08')
(u'thursday july 23 1987', '1987-07-23')
(u'thursday july 11 1985', '1985-07-11')
(u'24 oct 2003', '2003-10-24')
(u'december 28 2013', '2013-12-28')
(u'thursday august 9 1990', '1990-08-09')
(u'thursday june 13 1991', '1991-06-13')
(u'friday august 27 1982', '1982-08-27')
(u'friday april 16 1993', '1993-04-16')
(u'friday december 29 1978', '1978-12-29')
(u'10 jul 2004', '2004-07-10')
(u'sunday april 11 1993', '1993-04-11')
(u'10 august 2012', '2012-08-10')
(u'28 feb 1997', '1997-02-28')
(u'1/3/71', '1971-01-03')
(u'02 nov 2007', '2007-11-02')
(u'tuesday july 20 1993', '1993-07-20')
(u'10 june 2005', '2005-06-10')
(u'saturday december 2 1978', '1978-12-02')
(u'june 9 2015', '2015-06-09')
(u'thursday november 25 1993', '1993-11-25')
(u'31 january 2000', '2000-01-31')
(u'1 october 1998', '1998-10-01')
(u'12 aug 2004', '2004-08-12')
(u'18 march 1999', '1999-03-18')
(u'10/30/70', '1970-10-30')
(u'3 december 1999', '1999-12-03')
(u'april 13 2013', '2013-04-13')
(u'june 12 2016', '2016-06-12')
(u'25 mar 2002', '2002-03-25')
(u'wednesday november 20 1991', '1991-11-20')
(u'02 may 2007', '2007-05-02')
(u'05 may 2008', '2008-05-05')
(u'2/12/70', '1970-02-12')
(u'monday october 17 1994', '1994-10-17')
(u'saturday january 27 1996', '1996-01-27')
(u'sunday june 28 1992', '1992-06-28')
(u'saturday december 20 1986', '1986-12-20')
(u'tuesday october 24 1978', '1978-10-24')
(u'12 jan 2008', '2008-01-12')
(u'wednesday december 5 1984', '1984-12-05')
(u'oct 31 1972', '1972-10-31')
(u'12/23/70', '1970-12-23')
(u'11 aug 2004', '2004-08-11')
(u'9/11/70', '1970-09-11')
(u'11 may 2006', '2006-05-11')
(u'31 oct 2000', '2000-10-31')
(u'30 august 2005', '2005-08-30')
(u'17 august 2011', '2011-08-17')
(u'26 august 1998', '1998-08-26')
(u'sunday august 15 1993', '1993-08-15')
(u'thursday november 24 1988', '1988-11-24')
(u'wednesday may 15 1985', '1985-05-15')
(u'friday may 11 1984', '1984-05-11')
(u'april 12 2014', '2014-04-12')
(u'monday june 16 1980', '1980-06-16')
(u'september 24 2014', '2014-09-24')
(u'wednesday november 20 1991', '1991-11-20')
(u'9/20/70', '1970-09-20')
(u'22 january 2005', '2005-01-22')
(u'23 september 2004', '2004-09-23')
(u'03.08.18', '2018-08-03')
(u'jan 17 1974', '1974-01-17')
(u'02 mar 2001', '2001-03-02')
(u'27.01.17', '2017-01-27')
(u'10 jun 2007', '2007-06-10')
(u'28.04.17', '2017-04-28')
(u'december 28 1975', '1975-12-28')
(u'thursday july 31 1980', '1980-07-31')
(u'21 apr 2003', '2003-04-21')
(u'january 16 1976', '1976-01-16')
(u'10/31/70', '1970-10-31')
(u'march 16 2016', '2016-03-16')
(u'09 dec 2006', '2006-12-09')
(u'12 january 2005', '2005-01-12')
(u'monday may 8 1989', '1989-05-08')
(u'saturday november 27 1993', '1993-11-27')
(u'friday february 18 1983', '1983-02-18')
(u'wednesday november 20 1991', '1991-11-20')
(u'wednesday september 7 1977', '1977-09-07')
(u'26.05.18', '2018-05-26')
(u'26 february 2006', '2006-02-26')
(u'monday december 26 1988', '1988-12-26')
(u'23 oct 2001', '2001-10-23')
(u'monday july 24 1978', '1978-07-24')
(u'7/13/71', '1971-07-13')
(u'26 may 2000', '2000-05-26')
(u'sunday september 25 1983', '1983-09-25')
(u'wednesday january 4 1984', '1984-01-04')
(u'friday july 21 1989', '1989-07-21')
(u'19.09.18', '2018-09-19')
(u'23.05.17', '2017-05-23')
(u'17 apr 2008', '2008-04-17')
(u'20 nov 1996', '1996-11-20')
(u'13 june 2011', '2011-06-13')
(u'wednesday december 5 1984', '1984-12-05')
(u'january 18 2015', '2015-01-18')
(u'28 may 2007', '2007-05-28')
(u'thursday february 9 1984', '1984-02-09')
(u'19 jul 2007', '2007-07-19')
(u'wednesday may 22 1991', '1991-05-22')
(u'saturday december 5 1981', '1981-12-05')
(u'thursday march 17 1988', '1988-03-17')
(u'monday february 13 1989', '1989-02-13')
(u'january 25 1976', '1976-01-25')
(u'november 4 2014', '2014-11-04')
(u'22 july 1999', '1999-07-22')
(u'07 jun 2002', '2002-06-07')
(u'5/4/71', '1971-05-04')
(u'september 22 1975', '1975-09-22')
(u'1 december 1999', '1999-12-01')
(u'15 june 2000', '2000-06-15')
(u'18 january 2012', '2012-01-18')
(u'thursday march 14 1985', '1985-03-14')
(u'tuesday august 5 1980', '1980-08-05')
(u'thursday june 11 1987', '1987-06-11')
(u'27.11.17', '2017-11-27')
(u'march 24 2015', '2015-03-24')
(u'apr 18 1972', '1972-04-18')
(u'5 dec 2003', '2003-12-05')
(u'8 jun 1997', '1997-06-08')
(u'09.08.18', '2018-08-09')
(u'16 october 1998', '1998-10-16')
(u'friday november 24 1995', '1995-11-24')
(u'2 apr 2004', '2004-04-02')
(u'sunday june 23 1991', '1991-06-23')
(u'thursday august 18 1994', '1994-08-18')
(u'january 10 2013', '2013-01-10')
(u'saturday february 28 1987', '1987-02-28')
(u'wednesday january 7 1987', '1987-01-07')
(u'thursday april 1 1982', '1982-04-01')
(u'friday july 14 1989', '1989-07-14')
(u'january 9 2013', '2013-01-09')
(u'april 19 1975', '1975-04-19')
(u'wednesday march 25 1992', '1992-03-25')
(u'12 sep 1997', '1997-09-12')
(u'wednesday september 15 1976', '1976-09-15')
(u'sunday november 29 1987', '1987-11-29')
(u'27 apr 2002', '2002-04-27')
(u'saturday september 23 1989', '1989-09-23')
(u'18.12.17', '2017-12-18')
(u'june 18 2014', '2014-06-18')
(u'7 07 10', '2010-07-07')
(u'saturday december 27 1980', '1980-12-27')
(u'tuesday april 27 1976', '1976-04-27')
(u'thursday july 13 1978', '1978-07-13')
(u'15 january 2011', '2011-01-15')
(u'3/16/71', '1971-03-16')
(u'25 sep 2001', '2001-09-25')
(u'march 19 2014', '2014-03-19')
(u'28 april 2000', '2000-04-28')
(u'saturday december 18 1976', '1976-12-18')
(u'29 jun 2008', '2008-06-29')
(u'10 may 2011', '2011-05-10')
(u'friday february 1 1991', '1991-02-01')
(u'27 jun 1998', '1998-06-27')
(u'20 november 2005', '2005-11-20')
(u'dec 3 1973', '1973-12-03')
(u'wednesday january 7 1981', '1981-01-07')
(u'friday june 9 1989', '1989-06-09')
(u'sunday july 31 1994', '1994-07-31')
(u'thursday april 14 1994', '1994-04-14')
(u'01.11.17', '2017-11-01')
(u'sunday april 26 1987', '1987-04-26')
(u'23 september 1998', '1998-09-23')
(u'13 jul 1997', '1997-07-13')
(u'friday june 25 1982', '1982-06-25')
(u'friday january 27 1984', '1984-01-27')
(u'thursday july 8 1976', '1976-07-08')
(u'11 dec 2003', '2003-12-11')
(u'10 mar 2003', '2003-03-10')
(u'january 13 1975', '1975-01-13')
(u'march 6 2013', '2013-03-06')
(u'tuesday march 5 1996', '1996-03-05')
(u'19 feb 2003', '2003-02-19')
(u'thursday june 18 1987', '1987-06-18')
(u'8 january 2005', '2005-01-08')
(u'14 jan 2007', '2007-01-14')
(u'sunday april 3 1977', '1977-04-03')
(u'february 11 2013', '2013-02-11')
(u'april 19 2014', '2014-04-19')
(u'6 11 09', '2009-11-06')
(u'08 jul 2001', '2001-07-08')
(u'saturday february 22 1986', '1986-02-22')
(u'aug 2 1972', '1972-08-02')
(u'march 24 1974', '1974-03-24')
(u'22 july 2011', '2011-07-22')
(u'25 feb 1998', '1998-02-25')
(u'april 29 2014', '2014-04-29')
(u'13.12.17', '2017-12-13')
(u'12/17/70', '1970-12-17')
(u'aug 16 1973', '1973-08-16')
(u'3/10/70', '1970-03-10')
(u'5/29/71', '1971-05-29')
(u'wednesday january 11 1989', '1989-01-11')
(u'30 01 10', '2010-01-30')
(u'07 apr 2007', '2007-04-07')
(u'15 november 1999', '1999-11-15')
(u'20 aug 2004', '2004-08-20')
(u'february 10 2013', '2013-02-10')
(u'22 march 2012', '2012-03-22')
(u'november 2 1974', '1974-11-02')
(u'26 may 2001', '2001-05-26')
(u'tuesday march 26 1985', '1985-03-26')
(u'wednesday june 15 1983', '1983-06-15')
(u'friday december 18 1987', '1987-12-18')
(u'january 12 1976', '1976-01-12')
(u'11 jan 2007', '2007-01-11')
(u'december 13 1974', '1974-12-13')
(u'11/2/71', '1971-11-02')
(u'tuesday june 3 1980', '1980-06-03')
(u'30 jan 1997', '1997-01-30')
(u'8 jul 1996', '1996-07-08')
(u'monday march 23 1992', '1992-03-23')
(u'17 jul 2001', '2001-07-17')
(u'monday february 4 1985', '1985-02-04')
(u'february 8 2013', '2013-02-08')
(u'16 august 1998', '1998-08-16')
(u'january 8 2013', '2013-01-08')
(u'27 may 1998', '1998-05-27')
(u'25 november 2010', '2010-11-25')
(u'10 nov 2002', '2002-11-10')
(u'28.06.17', '2017-06-28')
(u'sunday june 23 1985', '1985-06-23')
(u'7/8/70', '1970-07-08')
(u'apr 27 1973', '1973-04-27')
(u'friday july 28 1995', '1995-07-28')
(u'jul 21 1972', '1972-07-21')
(u'29 apr 2008', '2008-04-29')
(u'april 8 2016', '2016-04-08')
(u'february 5 2015', '2015-02-05')
(u'3/23/71', '1971-03-23')
(u'thursday may 10 1979', '1979-05-10')
(u'monday february 7 1994', '1994-02-07')
(u'monday december 26 1977', '1977-12-26')
(u'saturday may 29 1976', '1976-05-29')
(u'saturday march 18 1995', '1995-03-18')
(u'4/30/70', '1970-04-30')
(u'december 18 1975', '1975-12-18')
(u'2 jul 1998', '1998-07-02')
(u'friday may 31 1985', '1985-05-31')
(u'21.02.18', '2018-02-21')
(u'13 october 2012', '2012-10-13')
(u'tuesday april 5 1994', '1994-04-05')
(u'18 january 1999', '1999-01-18')
(u'thursday september 21 1978', '1978-09-21')
(u'6 aug 1997', '1997-08-06')
(u'wednesday august 8 1984', '1984-08-08')
(u'30 mar 2004', '2004-03-30')
(u'monday december 8 1980', '1980-12-08')
(u'13.05.18', '2018-05-13')
(u'sunday july 10 1988', '1988-07-10')
(u'16.12.17', '2017-12-16')
(u'october 30 2014', '2014-10-30')
(u'10/16/70', '1970-10-16')
(u'january 13 2014', '2014-01-13')
(u'17 03 09', '2009-03-17')
(u'07.01.17', '2017-01-07')
(u'24 jan 1997', '1997-01-24')
(u'november 10 1974', '1974-11-10')
(u'saturday november 15 1986', '1986-11-15')
(u'thursday february 9 1989', '1989-02-09')
(u'sunday november 21 1976', '1976-11-21')
(u'4 february 2012', '2012-02-04')
(u'october 11 2013', '2013-10-11')
(u'jun 11 1973', '1973-06-11')
(u'16 sep 2007', '2007-09-16')
(u'apr 25 1972', '1972-04-25')
(u'monday march 4 1985', '1985-03-04')
(u'28 april 1999', '1999-04-28')
(u'1 august 2000', '2000-08-01')
(u'sunday february 8 1987', '1987-02-08')
(u'26 05 09', '2009-05-26')
(u'apr 21 1972', '1972-04-21')
(u'saturday may 28 1994', '1994-05-28')
(u'tuesday may 23 1995', '1995-05-23')
(u'08 aug 2001', '2001-08-08')
(u'07 apr 2007', '2007-04-07')
(u'tuesday may 21 1985', '1985-05-21')
(u'september 1 1975', '1975-09-01')
(u'6/14/70', '1970-06-14')
(u'sunday october 29 1989', '1989-10-29')
(u'saturday june 5 1976', '1976-06-05')
(u'sunday september 5 1982', '1982-09-05')
(u'tuesday december 6 1988', '1988-12-06')
(u'friday october 28 1983', '1983-10-28')
(u'8 nov 2003', '2003-11-08')
(u'june 12 2014', '2014-06-12')
(u'13 sep 2008', '2008-09-13')
(u'saturday february 21 1981', '1981-02-21')
(u'thursday january 6 1983', '1983-01-06')
(u'december 8 2012', '2012-12-08')
(u'30 march 2006', '2006-03-30')
(u'16 jul 2002', '2002-07-16')
(u'10 nov 2007', '2007-11-10')
(u'december 18 1974', '1974-12-18')
(u'wednesday october 25 1989', '1989-10-25')
(u'monday october 21 1991', '1991-10-21')
(u'7 june 2005', '2005-06-07')
(u'22 aug 2001', '2001-08-22')
(u'jul 19 1972', '1972-07-19')
(u'27 aug 2000', '2000-08-27')
(u'march 28 2015', '2015-03-28')
(u'tuesday june 21 1994', '1994-06-21')
(u'thursday april 4 1996', '1996-04-04')
(u'30 december 2005', '2005-12-30')
(u'10 mar 2008', '2008-03-10')
(u'23 december 2010', '2010-12-23')
(u'26 december 2010', '2010-12-26')
(u'saturday february 8 1992', '1992-02-08')
(u'thursday january 12 1995', '1995-01-12')
(u'sunday july 4 1982', '1982-07-04')
(u'thursday june 26 1980', '1980-06-26')
(u'12/26/70', '1970-12-26')
(u'13.09.18', '2018-09-13')
(u'june 16 2013', '2013-06-16')
(u'01.10.18', '2018-10-01')
(u'5 may 2011', '2011-05-05')
(u'16 september 2005', '2005-09-16')
(u'sunday december 16 1990', '1990-12-16')
(u'tuesday december 3 1991', '1991-12-03')
(u'14 jun 1997', '1997-06-14')
(u'sunday february 4 1996', '1996-02-04')
(u'27 november 1999', '1999-11-27')
(u'saturday july 17 1982', '1982-07-17')
(u'8 sep 2002', '2002-09-08')
(u'23 may 2004', '2004-05-23')
(u'february 10 2013', '2013-02-10')
(u'september 4 2015', '2015-09-04')
(u'sunday march 26 1978', '1978-03-26')
(u'jan 31 1973', '1973-01-31')
(u'monday january 13 1986', '1986-01-13')
(u'5 august 2011', '2011-08-05')
(u'september 2 1974', '1974-09-02')
(u'25 nov 2007', '2007-11-25')
(u'21 sep 2000', '2000-09-21')
(u'wednesday march 24 1993', '1993-03-24')
(u'11 nov 2001', '2001-11-11')
(u'18 dec 2000', '2000-12-18')
(u'wednesday may 15 1991', '1991-05-15')
(u'27 dec 2003', '2003-12-27')
(u'june 17 2015', '2015-06-17')
(u'monday august 21 1995', '1995-08-21')
(u'apr 9 1973', '1973-04-09')
(u'monday february 22 1993', '1993-02-22')
